 16.11.2022 ; 16:05:41; Start; psyfluid
 16.11.2022 ; 16:05:50; calculation; psyfluid; 8 / 2; 4.0
 16.11.2022 ; 16:05:53; calculation; psyfluid; 4 + 6; 10.0
 16.11.2022 ; 16:05:56; calculation; psyfluid; 10 * 5; 50.0
 16.11.2022 ; 16:06:02; calculation; psyfluid; 0 - 5; -5.0
 16.11.2022 ; 16:06:20; calculation; psyfluid; 56 / 8; 7.0
 16.11.2022 ; 16:06:29; calculation; psyfluid; 56 * 8; 448.0
 16.11.2022 ; 16:06:41; End; psyfluid
 16.11.2022 ; 16:21:18; Start; psyfluid
 16.11.2022 ; 16:40:22; End; psyfluid
 16.11.2022 ; 16:41:35; Start; psyfluid
 16.11.2022 ; 16:41:51; End; psyfluid
 16.11.2022 ; 16:42:51; Start; psyfluid
 16.11.2022 ; 16:43:01; End; psyfluid
 16.11.2022 ; 16:43:21; Start; psyfluid
 16.11.2022 ; 16:47:29; End; psyfluid
 16.11.2022 ; 17:00:23; Start; psyfluid
 16.11.2022 ; 17:07:21; End; psyfluid
 16.11.2022 ; 17:07:47; Start; psyfluid
 16.11.2022 ; 17:25:29; Start; psyfluid
 16.11.2022 ; 17:25:45; End; psyfluid
 16.11.2022 ; 17:27:06; Start; psyfluid
 16.11.2022 ; 17:37:13; Start; psyfluid
 16.11.2022 ; 17:42:23; End; psyfluid
 17.11.2022 ; 13:39:20; Start; mobai
 17.11.2022 ; 13:39:25; calculation; mobai; 552 + 5454 + 15; 6021.0
 17.11.2022 ; 13:39:31; calculation; mobai; 602125 * 25 + 2467; 15055592.0
 17.11.2022 ; 13:39:33; End; mobai
 17.11.2022 ; 14:25:28; Start; mobai
 17.11.2022 ; 14:26:12; calculation; mobai; 25 + 25 - 25 - 25; 0.0
 17.11.2022 ; 14:26:32; calculation; mobai; ( 8 + 2) * 5; 50.0
 17.11.2022 ; 14:28:29; End; mobai
 17.11.2022 ; 22:54:12; Start; mobai
 17.11.2022 ; 22:55:16; calculation; mobai; ( 8 + 2) * 5; 50.0
 17.11.2022 ; 22:55:46; End; mobai
